id,point,time,sim_obs
17,1,120.98,2.937123258196478
17,1,121.98,3.6175063238407743
17,1,126,4.881957053734766
17,1,129.17,4.887044754101353
17,1,132.17,4.541718364397237
17,1,143.97,2.5782322554316988
18,0,120,1.363835167144952
18,0,121,1.466182214737202
18,0,122,1.8045292815106915
18,0,125.98,2.4906913479057406
18,0,128.98,2.556754570823434
18,0,132,2.4144469961755792
18,0,144,1.3555384682946046
18,1,120,3.4753773887764923
18,1,121,3.9161643442619725
18,1,122,4.823341765121035
18,1,125.98,6.495732047484711
18,1,128.98,6.5432774832124965
18,1,132,6.094260605460672
18,1,144,3.457117658653643
19,0,120,1.363835167144952
19,0,120.77,1.3880363813474628
19,0,121.75,1.7434807262483154
19,0,125.67,2.4756676903209036
19,0,128.67,2.5600106430328435
19,0,143.67,1.3806411983466784
19,1,120,3.4753773887764923
19,1,120.77,3.591017547745193
19,1,121.75,4.57792114006748
19,1,125.67,6.448847220670563
19,1,128.67,6.565882915001049
19,1,143.67,3.5358187963943144
