id,time,block
id82,0.8,0
id82,1,0
id83,0,0
id83,0.2,0
id83,0.4,0
id83,0.6000000000000001,0
id83,0.8,0
id83,1,0
id84,0,0
id84,0.2,0
id84,0.4,0
id84,0.6000000000000001,0
id84,0.8,0
id84,1,0
id85,0,0
id85,0.2,0
id85,0.4,0
id85,0.6000000000000001,0
id85,0.8,0
id85,1,0
id86,0,0
id86,0.2,0
id86,0.4,0
id86,0.6000000000000001,0
id86,0.8,0
id86,1,0
id87,0,0
id87,0.2,0
id87,0.4,0
id87,0.6000000000000001,0
id87,0.8,0
id87,1,0
id88,0,0
id88,0.2,0
id88,0.4,0
id88,0.6000000000000001,0
id88,0.8,0
id88,1,0
id89,0,0
id89,0.2,0
id89,0.4,0
id89,0.6000000000000001,0
id89,0.8,0
id89,1,0
id9,0,0
id9,0.2,0
id9,0.4,0
id9,0.6000000000000001,0
id9,0.8,0
id9,1,0
id90,0,0
id90,0.2,0
id90,0.4,0
id90,0.6000000000000001,0
id90,0.8,0
id90,1,0
id91,0,0
id91,0.2,0
id91,0.4,0
id91,0.6000000000000001,0
id91,0.8,0
id91,1,0
id92,0,0
id92,0.2,0
id92,0.4,0
id92,0.6000000000000001,0
id92,0.8,0
id92,1,0
id93,0,0
id93,0.2,0
id93,0.4,0
id93,0.6000000000000001,0
id93,0.8,0
id93,1,0
id94,0,0
id94,0.2,0
id94,0.4,0
id94,0.6000000000000001,0
id94,0.8,0
id94,1,0
id95,0,0
id95,0.2,0
id95,0.4,0
id95,0.6000000000000001,0
id95,0.8,0
id95,1,0
id96,0,0
id96,0.2,0
id96,0.4,0
id96,0.6000000000000001,0
id96,0.8,0
id96,1,0
id97,0,0
id97,0.2,0
id97,0.4,0
id97,0.6000000000000001,0
id97,0.8,0
id97,1,0
id98,0,0
id98,0.2,0
id98,0.4,0
id98,0.6000000000000001,0
id98,0.8,0
id98,1,0
id99,0,0
id99,0.2,0
id99,0.4,0
id99,0.6000000000000001,0
id99,0.8,0
id99,1,0
