cycle,converged,status,neg2ll,nspp,gamlam.1,ke.mean,ke.median,ke.sd,v.mean,v.median,v.sd
173,false,Continue,-425.1321868035254,45,0.00000,0.1793297222079171,0.09591740503311158,0.02913107514061527,108.41768860816956,104.0697729587555,801.3703083034667
174,false,Continue,-425.14188601287344,45,0.00000,0.1793297222079171,0.09591740503311158,0.029131075140615283,108.41573548316956,104.0697729587555,801.1698187292808
175,false,Continue,-425.15078895899416,45,0.00000,0.1793297222079171,0.09591740503311158,0.02913107514061527,108.41475892066956,104.0697729587555,801.033958626495
176,false,Continue,-425.1594701808651,45,0.00000,0.17931670571486155,0.09591740503311158,0.029134836001024404,108.41280579566956,104.0697729587555,800.9014196966328
177,false,Continue,-425.172445469814,45,0.00000,0.17931670571486155,0.09591740503311158,0.029134836001024404,108.41182923316956,104.0697729587555,800.7659926486846
178,false,Continue,-425.18461084962775,45,0.00000,0.17931670571486155,0.09591740503311158,0.029134836001024404,108.41085267066956,104.0697729587555,800.6308269941966
179,false,Continue,-425.1959663140295,45,0.00000,0.17931670571486155,0.09591740503311158,0.029134836001024404,108.40987610816956,104.0697729587555,800.4959227331691
180,false,Continue,-425.20651186965677,45,0.00000,0.17931670571486155,0.09591740503311158,0.029134836001024404,108.40889954566956,104.0697729587555,800.361279865602
181,false,Continue,-425.2162475367032,45,0.00000,0.17931670571486155,0.09591740503311158,0.029134836001024404,108.40792298316956,104.0697729587555,800.2268983914951
182,false,Continue,-425.2255228911216,45,0.00000,0.17931670571486155,0.09591740503311158,0.029134836001024404,108.40792298316956,104.0697729587555,800.075070744118
183,false,Continue,-425.2344000911591,45,0.00000,0.17931670571486155,0.09591740503311158,0.029134836001024404,108.40792298316956,104.0697729587555,799.9234186595127
